Input Type,Input Index,Turns to Go,Average Score
Optimal,1,10,3.98
Optimal,2,100,65.26
Optimal,3,100,79.12
Optimal,4,20,21.0
Optimal,5,15,13.24
Optimal,6,50,54.08
Optimal,7,25,35.6
Optimal,8,40,38.2
Optimal,9,10,6.8
Optimal,10,60,59.16
Optimal,11,12,8.64
Optimal,12,18,26.6
Optimal,13,80,77.76
Optimal,14,90,90.36
Optimal,15,15,13.08
Optimal,16,22,13.2
Optimal,17,35,25.76
Optimal,18,45,45.96
Optimal,19,28,30.22
Optimal,20,38,35.68
Optimal,21,70,124.08
Optimal,22,95,114.44
Optimal,23,55,57.68
Optimal,24,30,28.56
Optimal,25,10,6.16
